S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
25,Jay Bharat Maru.,116.10,450758,284279,4.99,2.73,-8.45,287403,-30.42,11.63,1254.29,-8.11,174.67,-18.17,-73.12,43.96,13.29,16.44
26,Kross Ltd,278.56,6457509,3249388,8.76,23.33,32.90,1624401,47.03,27.35,1800.70,24.39,13.22,-18.23,-40.71,70.60,17.09,16.44
27,Man Industries,986.70,11151989,3003434,16.10,24.85,37.40,2040067,73.36,117.96,7402.50,122.41,26.31,-9.00,20.81,199.41,10.75,16.21
28,Lloyds Engineeri,91.52,21198238,8746764,6.75,14.37,4.99,6234018,7.78,46.83,14200.08,111.96,69.76,6.49,46.76,134.43,53.85,16.10
29,Pennar Industrie,183.31,1803753,581474,5.27,9.90,13.86,583199,12.95,-25.11,2487.92,10.86,14.00,-5.88,-13.72,34.27,9.17,15.15
30,Innova Captab,1297.60,478135,144404,5.78,14.49,22.06,122842,37.84,49.25,7448.27,42.26,18.68,5.15,15.89,93.28,34.47,14.96
31,Ganesh Benzopl.,131.08,459545,196168,4.68,9.93,7.46,227371,26.48,43.74,944.92,-6.54,-21.88,5.41,14.98,70.97,13.31,14.54
32,GNA Axles,596.65,3794666,1336073,6.23,12.61,7.43,504570,36.63,81.74,2565.35,66.46,29.22,14.48,24.17,57.91,8.11,14.33
33,Rajratan Global,483.20,638927,263909,7.33,4.37,-1.43,143072,11.46,39.03,2457.35,69.82,39.51,1.29,48.80,38.61,27.74,13.23
34,Subex,22.08,74930141,21604681,13.99,12.71,20.99,14241218,88.40,73.58,1242.68,11.01,448.98,8.90,43.20,214.08,2.91,12.76
35,Arvind SmartSp.,634.05,7013154,1463915,7.79,15.45,-8.75,406171,5.61,-3.15,2913.35,785.60,55.16,104.41,120.49,22.72,5.31,12.37
36,G N F C,623.05,2026551,2979013,4.07,15.43,5.07,1215155,13.93,23.71,9154.38,275.90,84.52,1.36,-21.21,61.62,12.55,12.03
37,Tilaknagar Inds.,601.50,1741415,1595073,4.67,14.23,3.96,863101,38.66,31.98,14911.06,-30.28,-18.70,10.17,311.87,40.13,100.02,11.78
38,Bajaj Healthcare,352.70,481369,183169,4.94,9.84,9.69,153883,16.00,-23.90,1187.10,14.13,19.55,8.21,159.96,17.29,12.27,11.46
39,Fischer Medical,35.03,3143020,2655778,6.31,4.57,-3.95,1060012,-5.22,-69.54,2442.31,-22.02,286.12,-16.01,130.47,-9.62,195.82,11.45
40,Antony Waste han,387.95,1336360,1608306,6.49,12.29,1.80,446728,-17.81,-32.87,1100.78,-95.73,-13.40,-8.67,-97.99,-3.16,11.83,11.22
41,Allcargo Termi,25.93,844104,264003,6.49,8.54,-6.02,290832,7.10,-21.76,759.60,-30.08,31.18,3.06,-27.37,29.20,12.25,11.20
42,Optiemus Infra.,828.35,11060524,4087161,16.85,39.72,41.43,1214492,76.51,23.46,7474.21,45.77,10.56,82.07,-5.74,165.07,20.93,10.92
43,One Point One,68.41,22939653,7376298,8.24,21.55,23.24,2637331,18.15,54.35,1799.32,72.78,31.61,64.57,58.81,61.23,52.41,10.88
44,Aarti Pharma,940.10,3072026,1911566,6.38,15.63,11.50,798962,36.11,7.85,8526.74,53.82,-19.21,-8.04,24.57,54.41,1.20,10.70
45,Whirlpool India,865.25,11644685,2820867,20.00,18.24,12.51,1180402,7.78,-34.50,10976.06,-29.40,-23.36,25.04,27.80,6.97,6.03,10.67
46,Carborundum Uni.,1264.50,673460,1302060,4.39,20.25,12.68,442765,10.60,30.09,24055.65,23.44,-13.89,2.02,300.80,64.74,10.14,10.52
47,TruAlt Bioenergy,438.90,897805,434255,5.90,3.83,-0.67,228246,-6.15,,3762.78,1108.25,-9.56,5.27,-13.90,12.68,1.80,10.44
48,PB Fintech.,1886.30,2582819,2609823,4.50,3.24,5.68,1581956,16.78,4.70,87531.52,92.54,98.75,-8.40,-37.62,29.27,38.00,10.32
49,DCW,50.02,9183406,3173209,4.16,13.01,11.40,2314639,3.80,-31.95,1460.85,203.34,104.88,-11.03,91.10,26.60,11.82,9.89
50,Indo Count Inds.,476.55,2045773,713881,6.16,10.33,10.72,776813,11.76,65.03,9445.64,62.02,-28.57,14.11,161.24,86.23,5.30,8.19
51,S A I L,185.44,42962190,16275872,6.57,6.85,3.22,24527021,8.58,35.06,76600.86,134.30,58.66,-14.82,-10.43,26.61,6.45,7.92
52,Wockhardt,2329.70,4058490,1661012,6.60,15.25,22.55,1495886,18.55,57.74,37863.60,973.63,983.41,-3.73,-34.76,95.86,18.37,7.55
53,Tirupati Forge,78.34,1107996,481204,5.00,18.86,10.76,255733,61.99,108.80,1018.73,-13.48,-8.41,-9.09,-19.74,92.01,42.34,7.53
54,Mahindra Logis.,416.55,459500,152237,4.06,7.69,3.34,129509,13.19,15.98,4134.88,335.09,205.56,11.80,24.46,19.39,16.93,7.36
55,Sanathan Textile,506.35,511527,171122,7.44,11.52,12.85,138718,13.81,-1.77,4275.61,-41.08,-59.72,14.16,10.43,32.94,48.53,6.89
56,South Ind.Bank,47.08,16038270,10653200,4.09,4.18,4.25,9958441,3.68,57.14,12323.50,17.29,13.54,2.67,-7.33,31.47,6.88,6.42
57,Westlife Food,598.70,1705448,516751,4.30,8.77,2.41,534310,23.11,-15.95,9321.29,-52.03,-186.56,12.25,-75.21,35.33,6.75,6.34
58,Clean Max Enviro,1457.50,1667073,477431,6.58,13.27,16.01,389906,7.80,,17061.09,441.69,120.98,49.28,21.54,80.25,27.89,6.16
59,Shalby,145.67,246799,178348,6.56,7.32,-5.43,116795,-15.38,-45.41,1567.64,21.64,7663.46,15.23,-43.12,11.16,6.50,6.12
60,Jaykay Enter.,212.76,10513824,3592147,12.27,37.47,48.08,1396544,32.20,16.86,3210.51,-78.19,85.18,21.93,-97.49,80.70,117.55,4.76
61,Laxmi Organic,188.44,3889814,1734548,5.86,9.73,8.81,1264819,20.80,-13.68,5235.85,216.60,25.01,31.69,214.25,67.86,5.47,4.72
62,Mukand,157.11,2651041,605214,11.10,16.47,15.79,218830,18.07,12.87,2265.52,97.59,689.32,7.34,-89.66,35.49,7.57,4.44
63,Walchan. Inds.,212.63,1583107,613811,6.82,7.89,-4.33,680413,-22.33,1.67,1443.49,111.36,97.53,-2.35,-59.86,52.85,37.98,4.17
64,Unichem Labs.,573.20,309844,125056,6.39,9.34,12.44,173964,32.38,15.87,4066.61,496.08,-2.19,10.00,280.11,101.80,7.13,4.13
65,Sunflag Iron,390.55,1015300,353461,10.00,15.21,10.31,215961,13.15,45.92,7032.53,5.49,7.96,7.82,92.68,92.46,9.03,4.07
66,NOCIL,206.30,7712569,2771227,6.40,13.38,24.44,1981445,13.44,13.23,3458.03,60.83,-25.26,22.00,63.29,30.74,0.96,3.93
67,Lloyds Enterpris,74.15,4661137,2873562,5.31,10.74,0.12,2410193,1.34,11.37,11317.77,-74.50,-59.37,-21.76,60.51,74.06,32.92,3.67
68,Texmaco Infrast.,123.47,2920955,682470,7.35,6.21,10.96,368359,12.01,30.46,1572.93,-55.49,315.95,-17.39,134.78,27.14,5.45,1.35
69,E2E Networks,635.15,1550117,721354,4.99,5.90,3.63,820260,54.05,89.52,13053.22,1645.07,-9.71,63.91,581.37,197.42,130.70,-0.51
