S.No.,Name,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
19.,M.V.K. Agro,194.50,887100,531960,4.99,15.46,-41.09,243200,-60.61,-43.17,982.30,84.93,394.49,-51.06,-79.15,-65.64,113.64,14.37
20.,AVT Natural Prod,92.06,836544,311876,8.06,5.63,28.81,505292,29.64,26.87,1393.24,156.60,54.04,6.50,41.24,54.67,40.77,14.22
21.,Parag Milk Foods,254.42,3212970,1680788,7.06,5.74,18.72,1210007,5.53,12.19,3202.49,-20.05,13.13,-0.08,-31.61,28.26,10.91,13.52
22.,SMS Pharma.,371.85,468154,206579,4.58,5.01,-0.55,195090,2.17,57.00,3483.92,2.05,39.99,-13.02,-36.07,-0.69,10.25,13.30
23.,Sh.Pushkar Chem.,470.50,256463,215812,4.23,10.21,18.59,99678,29.51,49.94,1522.83,9.40,7.99,28.37,78.17,53.38,15.65,12.97
24.,Aurobindo Pharma,1717.00,2493075,1005008,4.36,6.78,8.66,1109585,20.14,67.04,98510.98,28.11,11.49,3.35,12.07,43.63,9.09,12.86
25.,Paramount Comm.,65.34,5739871,2477209,4.76,4.96,0.71,2110152,-0.85,45.04,2138.87,6.49,-24.00,-7.66,-4.00,96.28,16.77,12.35
26.,Cyient,1174.80,2798726,5084052,6.08,29.23,38.59,1863744,26.92,0.58,13041.77,-32.31,-34.86,7.72,65.95,33.16,3.19,12.28
27.,Venky's (India),1702.00,1323747,309219,8.28,8.51,13.51,162691,17.45,16.16,2395.46,215.79,202.79,1.63,-50.69,35.20,18.28,11.89
28.,Stove Kraft,849.20,821782,243862,6.48,3.40,9.10,394473,36.33,32.99,2812.71,63.57,19.34,15.94,181.98,72.83,18.46,10.93
29.,Onix Solar,331.80,877005,975818,4.98,14.16,-43.04,246522,-54.19,38.25,1225.22,1962.38,645.78,33.34,-18.85,-32.69,77.60,10.21
30.,Ultramarine Pig.,442.85,509727,191355,7.67,7.23,14.36,197047,11.55,-9.38,1295.02,68.19,16.02,21.81,125.75,4.77,13.39,10.09
31.,Northern Arc,311.65,37188471,10183817,9.06,9.60,8.59,2853977,8.44,31.97,5035.22,41.06,50.39,5.14,-13.98,29.85,21.13,9.74
32.,Jai Balaji Inds.,72.16,4265402,1710587,4.23,10.13,25.04,1007765,3.03,-30.12,6585.93,20.81,-65.13,-3.59,298.83,17.97,2.00,9.73
33.,Balrampur Chini,693.50,42539410,11284254,5.90,-0.29,18.30,6728719,29.05,29.34,14672.04,-14.39,-11.31,2.04,-72.33,41.04,14.99,9.28
34.,Birla Cable,309.86,397068,140856,5.00,14.34,52.03,213901,44.94,97.05,932.93,2190.30,628.86,24.54,183.90,120.68,28.14,8.93
35.,Lenskart Solut.,662.40,113118922,29554907,4.13,0.40,17.99,16380101,26.36,,115211.64,240.31,77.25,7.89,12.18,26.46,37.11,8.08
36.,T N Merc. Bank,932.60,800047,262014,5.25,6.57,9.50,189256,26.07,120.26,14773.69,34.97,20.33,7.23,10.13,43.09,12.96,7.51
37.,Manali Petrochem,81.75,75139511,15695580,11.44,9.13,25.98,5211024,37.28,26.88,1405.52,348.81,262.35,-6.13,121.63,57.79,19.19,7.24
38.,GYFTR,174.63,1280988,303410,4.68,8.73,9.36,133460,-4.42,54.25,1344.69,,481.60,-47.70,-14.42,-10.94,2579.77,6.77
39.,Bodal Chemicals,118.89,7766843,2692989,19.99,43.40,68.26,894947,64.28,83.84,1503.57,218.78,128.70,20.58,-5.24,164.85,27.57,6.68
40.,Kopran,217.83,1996729,483073,7.96,12.35,14.03,239319,11.18,40.70,1054.47,-10.07,-28.42,-34.20,-64.49,77.31,11.96,6.65
41.,PVP Ventures,68.48,7005362,6072376,5.00,40.93,155.24,4278599,130.18,229.07,1785.98,7513.79,906.21,10.14,446.71,147.40,181.93,6.37
42.,AXISCADES Tech.,1671.20,336674,156729,4.80,7.34,7.58,165203,-0.65,34.15,7111.32,-597.76,-47.47,68.41,-3614.29,11.58,3.64,3.57
43.,Asian Hotels (N),366.40,1019963,266480,15.97,21.69,22.09,105437,19.17,11.64,1558.88,73.87,115.61,-24.57,-111.06,32.99,6.76,3.52
44.,GTPL Hathway,57.73,214715,210261,7.83,5.95,-3.62,131851,-10.33,-49.91,642.41,-78.03,-81.97,9.91,109.83,0.09,8.29,3.37
45.,Religare Enterp.,242.80,7548616,3197604,4.18,6.98,-4.09,1771147,3.00,2.23,8345.07,-356.16,-57.65,-4.62,-149.12,20.00,19.01,3.06
46.,Kiri Industries,530.90,3160393,1373488,7.71,5.67,28.04,1236016,35.30,0.01,3456.26,2762.33,340.10,24.69,-43.49,24.60,25.19,-1.69
47.,Ather Energy,1717.70,21370330,9143817,6.27,18.21,36.29,6098126,78.82,281.58,68222.90,71.46,52.35,3.60,49.25,145.04,67.15,-19.77
48.,Suven Life Scie.,392.05,1784958,695770,7.43,6.03,27.66,939031,42.46,83.24,11079.39,-147.69,-91.31,134.87,-179.85,193.06,17.29,-79.54
